City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
54,Jamestown,US,2021-05-28 01:18:42,clear sky,42.097,-79.2353,56.52,66,1,4.61
55,San Vicente,AR,2021-05-28 01:21:34,overcast clouds,-26.6167,-54.1333,60.6,82,100,2.44
56,Chauk,MM,2021-05-28 01:20:22,clear sky,20.8833,94.8167,86.67,55,7,10.0
57,Ilulissat,GL,2021-05-28 01:21:35,overcast clouds,69.2167,-51.1,53.62,32,100,11.5
58,Zyryanka,RU,2021-05-28 01:21:35,clear sky,65.75,150.85,61.88,23,7,17.34
59,Cockburn Town,TC,2021-05-28 01:21:35,clear sky,21.4612,-71.1419,79.27,76,0,16.31
60,Port Alfred,ZA,2021-05-28 01:17:14,few clouds,-33.5906,26.891,59.76,78,17,9.78
61,Sarkand,KZ,2021-05-28 01:21:36,overcast clouds,45.41,79.9186,66.4,68,100,4.43
62,Wuwei,CN,2021-05-28 01:21:36,few clouds,37.9281,102.6414,68.41,24,24,3.02
63,Margate,GB,2021-05-28 01:21:36,overcast clouds,51.3813,1.3862,51.31,80,100,1.99
64,Dikson,RU,2021-05-28 01:21:37,overcast clouds,73.5069,80.5464,22.05,99,93,6.91
65,Nanortalik,GL,2021-05-28 01:21:37,broken clouds,60.1432,-45.2371,41.99,74,78,1.9
66,Lavrentiya,RU,2021-05-28 01:21:37,clear sky,65.5833,-171.0,34.9,88,6,9.42
67,Naze,JP,2021-05-28 01:21:38,overcast clouds,28.3667,129.4833,72.52,93,100,2.28
68,Benemerito De Las Americas,MX,2021-05-28 01:21:17,overcast clouds,16.5167,-90.6439,73.65,97,99,3.09
69,Nacogdoches,US,2021-05-28 01:21:38,clear sky,31.6002,-94.6335,82.26,74,1,5.75
70,Mandalgovi,MN,2021-05-28 01:21:38,clear sky,45.7625,106.2708,61.38,26,5,21.59
71,Sayyan,YE,2021-05-28 01:21:39,scattered clouds,15.1718,44.3244,60.84,32,49,3.38
72,Cherskiy,RU,2021-05-28 01:21:39,overcast clouds,68.75,161.3,60.55,25,100,15.61
73,Sao Sebastiao Do Paraiso,BR,2021-05-28 01:21:39,clear sky,-20.9169,-46.9914,63.73,65,9,3.27
74,Ostrovnoy,RU,2021-05-28 01:21:40,overcast clouds,68.0531,39.5131,39.69,77,98,19.98
75,Tiksi,RU,2021-05-28 01:21:40,overcast clouds,71.6872,128.8694,35.67,90,100,5.55
76,Kitimat,CA,2021-05-28 01:21:40,light rain,54.0524,-128.6534,52.18,92,100,1.01
77,Starotimoshkino,RU,2021-05-28 01:21:41,scattered clouds,53.7191,47.5312,53.01,74,26,1.81
78,Barrow,US,2021-05-28 01:17:01,overcast clouds,71.2906,-156.7887,33.82,69,90,14.97
79,Albany,US,2021-05-28 01:17:42,overcast clouds,42.6001,-73.9662,60.75,54,99,7.0
80,Lorengau,PG,2021-05-28 01:21:41,scattered clouds,-2.0226,147.2712,82.02,81,39,4.76
81,Aksu,CN,2021-05-28 01:21:41,scattered clouds,41.1231,80.2644,75.13,17,27,4.72
82,Havelock,US,2021-05-28 01:21:42,clear sky,34.8791,-76.9013,77.99,90,1,3.44
83,Ribeira Grande,PT,2021-05-28 01:21:42,overcast clouds,38.5167,-28.7,59.65,64,100,8.12
84,Suntar,RU,2021-05-28 01:21:42,overcast clouds,62.1444,117.6319,54.48,77,100,3.85
85,Santa Cruz,BO,2021-05-28 01:21:43,broken clouds,-17.8,-63.1667,74.66,83,75,12.64
86,Cheremshanka,RU,2021-05-28 01:21:43,clear sky,56.1192,60.268,47.1,82,0,2.26
87,Saldanha,ZA,2021-05-28 01:21:43,light rain,-33.0117,17.9442,57.25,88,100,13.06
88,Ponta Do Sol,PT,2021-05-28 01:21:44,broken clouds,32.6667,-17.1,63.72,76,53,4.34
89,Westport,US,2021-05-28 01:21:44,clear sky,41.1415,-73.3579,73.38,53,1,1.99
90,Nouadhibou,MR,2021-05-28 01:21:44,clear sky,20.931,-17.0347,64.38,82,0,17.27
91,Bluff,NZ,2021-05-28 01:21:45,overcast clouds,-46.6,168.3333,49.8,87,100,5.06
92,Port Elizabeth,ZA,2021-05-28 01:21:45,clear sky,-33.918,25.5701,57.49,62,0,5.75
93,Reykjavik,IS,2021-05-28 01:21:45,broken clouds,64.1355,-21.8954,47.25,57,75,23.02
94,Marquette,US,2021-05-28 01:21:46,overcast clouds,46.5333,-87.6335,34.77,68,100,6.55
95,San Policarpo,PH,2021-05-28 01:21:46,scattered clouds,12.1791,125.5072,84.04,80,44,8.7
96,Saint-Philippe,RE,2021-05-28 01:21:46,scattered clouds,-21.3585,55.7679,71.19,77,37,4.07
97,Guiratinga,BR,2021-05-28 01:21:47,broken clouds,-16.3494,-53.7583,75.04,58,70,3.27
98,Wellington,NZ,2021-05-28 01:19:50,scattered clouds,-41.2866,174.7756,56.07,74,40,1.99
99,Isangel,VU,2021-05-28 01:21:47,broken clouds,-19.55,169.2667,78.91,65,75,2.13
100,Ust-Nera,RU,2021-05-28 01:21:47,overcast clouds,64.5667,143.2,54.36,51,100,7.54
101,Geraldton,AU,2021-05-28 01:21:48,light rain,-28.7667,114.6,64.81,72,90,6.93
