City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Ulladulla,AU,2021-05-31 15:24:31,clear sky,-35.35,150.4667,47.08,73,4,5.46
126,Ixtapa,MX,2021-05-31 15:21:24,broken clouds,20.7,-105.2,80.22,65,75,0.0
127,San Patricio,US,2021-05-31 15:24:32,scattered clouds,28.017,-97.5169,84.07,68,43,15.26
128,Pangody,RU,2021-05-31 15:24:32,few clouds,65.85,74.4859,46.8,40,13,1.61
129,Nishihara,JP,2021-05-31 15:24:33,broken clouds,26.1842,127.7558,76.28,88,75,14.05
130,Sijunjung,ID,2021-05-31 15:24:33,overcast clouds,-0.6876,100.9537,74.05,96,100,2.1
131,Vera Cruz,BR,2021-05-31 15:24:34,broken clouds,-12.6333,-41.0333,80.17,43,60,3.94
132,Beterou,BJ,2021-05-31 15:24:34,broken clouds,9.1992,2.2586,100.63,28,71,3.15
133,Saldanha,ZA,2021-05-31 15:22:33,clear sky,-33.0117,17.9442,62.65,74,10,12.15
134,Orlik,RU,2021-05-31 15:24:35,broken clouds,52.5178,99.825,29.89,85,82,4.65
135,Castro,BR,2021-05-31 15:21:28,overcast clouds,-24.7911,-50.0119,57.25,97,100,2.62
136,Ayer Tawar,MY,2021-05-31 15:24:35,few clouds,4.2954,100.7548,82.35,83,20,3.18
137,Salalah,OM,2021-05-31 15:24:36,scattered clouds,17.0151,54.0924,84.29,84,40,10.36
138,Nome,US,2021-05-31 15:20:39,clear sky,64.5011,-165.4064,46.47,61,1,0.0
139,Wajir,KE,2021-05-31 15:24:36,overcast clouds,1.7471,40.0573,92.32,30,100,13.78
140,Virginia Beach,US,2021-05-31 15:20:27,few clouds,36.8529,-75.978,69.03,63,20,11.5
141,Gayny,RU,2021-05-31 15:24:37,clear sky,60.3071,54.3241,53.15,36,0,4.12
142,San Cristobal,VE,2021-05-31 15:24:37,overcast clouds,7.7669,-72.225,77.18,63,97,6.13
143,Katsuura,JP,2021-05-31 15:20:01,scattered clouds,35.1333,140.3,67.19,80,46,6.96
144,Ribeira Grande,PT,2021-05-31 15:24:38,broken clouds,38.5167,-28.7,66.6,88,75,5.75
145,Majene,ID,2021-05-31 15:24:38,overcast clouds,-3.5403,118.9707,79.56,85,100,6.46
146,Margate,GB,2021-05-31 15:19:56,clear sky,51.3813,1.3862,74.32,84,0,11.97
147,Coquimbo,CL,2021-05-31 15:22:08,clear sky,-29.9533,-71.3436,62.33,67,0,7.18
148,Provideniya,RU,2021-05-31 15:24:39,overcast clouds,64.3833,-173.3,38.5,67,92,7.85
149,Geraldton,AU,2021-05-31 15:24:39,scattered clouds,-28.7667,114.6,54.01,94,33,14.63
150,Ilulissat,GL,2021-05-31 15:24:40,broken clouds,69.2167,-51.1,33.82,86,75,6.91
151,Hami,CN,2021-05-31 15:24:40,clear sky,42.8,93.45,82.15,8,0,16.62
152,Batagay,RU,2021-05-31 15:24:41,overcast clouds,67.6333,134.6333,45.79,87,98,2.01
153,Yeppoon,AU,2021-05-31 15:24:15,clear sky,-23.1333,150.7333,60.58,77,3,12.97
154,Srandakan,ID,2021-05-31 15:24:41,overcast clouds,-7.9386,110.2506,59.74,89,98,5.01
155,Ponta Do Sol,PT,2021-05-31 15:24:42,broken clouds,32.6667,-17.1,71.01,72,58,2.55
156,Katherine,AU,2021-05-31 15:24:42,overcast clouds,-14.4667,132.2667,71.92,73,100,9.64
157,Svetlogorsk,BY,2021-05-31 15:24:42,overcast clouds,52.6333,29.7333,55.29,67,92,7.56
158,Kodiak,US,2021-05-31 15:22:29,light rain,57.79,-152.4072,45.91,87,90,9.22
159,Nicolas De Pierola,PE,2021-05-31 15:24:43,overcast clouds,-11.95,-76.7,52.38,52,100,6.82
160,Georgetown,MY,2021-05-31 15:24:43,few clouds,5.4112,100.3354,85.95,78,20,4.61
161,Korla,CN,2021-05-31 15:22:53,overcast clouds,41.7597,86.1469,83.1,15,100,6.29
162,Bonavista,CA,2021-05-31 15:24:44,overcast clouds,48.6499,-53.1147,66.2,66,93,11.39
163,Jiwani,PK,2021-05-31 15:24:45,clear sky,25.05,61.7417,89.26,67,0,19.44
164,Sisimiut,GL,2021-05-31 15:24:45,overcast clouds,66.9395,-53.6735,34.2,99,100,6.98
165,Pangai,TO,2021-05-31 15:24:46,light rain,-19.8,-174.35,77.38,80,99,11.56
166,Praia Da Vitoria,PT,2021-05-31 15:24:46,broken clouds,38.7333,-27.0667,64.65,94,75,13.27
167,Coos Bay,US,2021-05-31 15:24:46,clear sky,43.3665,-124.2179,66.85,76,1,0.0
168,Dzilam Gonzalez,MX,2021-05-31 15:24:47,clear sky,21.2833,-88.9333,86.04,57,3,6.24
169,Brownsville,US,2021-05-31 15:24:47,broken clouds,25.9018,-97.4975,84.9,71,75,5.99
170,Bolbosi,RO,2021-05-31 15:24:48,light rain,44.75,23.2167,56.05,71,84,10.63
171,Pitimbu,BR,2021-05-31 15:24:48,scattered clouds,-7.4706,-34.8086,79.39,78,41,13.0
172,Acarau,BR,2021-05-31 15:24:48,few clouds,-2.8856,-40.12,86.59,61,17,12.39
173,Alyangula,AU,2021-05-31 15:24:49,overcast clouds,-13.8483,136.4192,71.47,100,99,10.74
174,Laguna,US,2021-05-31 15:20:57,clear sky,38.421,-121.4238,84.09,52,1,1.99
175,Caconda,AO,2021-05-31 15:24:49,few clouds,-13.7333,15.0667,78.39,16,17,1.03
176,Pevek,RU,2021-05-31 15:24:50,scattered clouds,69.7008,170.3133,36.25,67,36,0.38
177,Lucea,JM,2021-05-31 15:24:50,broken clouds,18.451,-78.1736,83.86,67,70,2.98
178,Ust-Kan,RU,2021-05-31 15:24:51,broken clouds,50.9276,84.761,54.72,69,81,1.05
179,Talnakh,RU,2021-05-31 15:24:52,overcast clouds,69.4865,88.3972,32.9,89,100,7.25
180,Yumen,CN,2021-05-31 15:21:00,clear sky,40.2833,97.2,67.84,10,0,10.29
181,Mahebourg,MU,2021-05-31 15:24:53,scattered clouds,-20.4081,57.7,74.25,83,40,5.75
182,New Norfolk,AU,2021-05-31 15:24:53,overcast clouds,-42.7826,147.0587,45.72,84,100,1.01
183,Baykit,RU,2021-05-31 15:24:41,overcast clouds,61.67,96.37,52.39,62,97,3.98
184,Les Escoumins,CA,2021-05-31 15:24:54,overcast clouds,48.1111,-69.0236,43.36,98,100,6.29
185,Faya,SA,2021-05-31 15:22:00,clear sky,18.3851,42.4509,84.72,12,1,16.35
186,Sosua,DO,2021-05-31 15:24:55,scattered clouds,19.7667,-70.5167,86.23,83,40,16.11
187,Chumikan,RU,2021-05-31 15:21:40,broken clouds,54.7183,135.315,36.45,95,78,1.14
188,Igrim,RU,2021-05-31 15:24:55,broken clouds,63.1906,64.4162,52.57,37,71,4.09
189,Esperance,AU,2021-05-31 15:24:55,overcast clouds,-33.8667,121.9,58.84,84,100,26.64
190,Escada,BR,2021-05-31 15:21:34,broken clouds,-8.3592,-35.2236,79.54,57,51,10.36
191,Tuktoyaktuk,CA,2021-05-31 15:24:56,overcast clouds,69.4541,-133.0374,30.2,86,90,12.66
192,Karratha,AU,2021-05-31 15:21:09,overcast clouds,-20.7377,116.8463,70.68,46,99,15.17
193,Kahului,US,2021-05-31 15:21:36,clear sky,20.8947,-156.47,74.84,79,1,0.0
194,Lugo,ES,2021-05-31 15:24:56,clear sky,43.0,-7.5,84.47,44,0,5.28
195,Tahoua,NE,2021-05-31 15:24:57,clear sky,14.8888,5.2692,109.38,5,0,6.91
196,Llandrindod Wells,GB,2021-05-31 15:24:57,broken clouds,52.2416,-3.3787,70.88,77,71,9.51
197,Half Moon Bay,US,2021-05-31 15:24:58,clear sky,37.4636,-122.4286,72.75,76,1,4.5
198,Port Lincoln,AU,2021-05-31 15:24:58,overcast clouds,-34.7333,135.8667,59.04,44,100,5.64
199,Aleppo,SY,2021-05-31 15:24:59,clear sky,36.25,37.5,94.68,12,0,22.91
200,Cherskiy,RU,2021-05-31 15:25:00,clear sky,68.75,161.3,52.83,38,10,8.77
201,Nikolskoye,RU,2021-05-31 15:22:03,light rain,59.7035,30.7861,57.78,58,100,7.47
202,Kampot,KH,2021-05-31 15:25:00,clear sky,10.6167,104.1833,84.25,83,6,7.94
