City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Ahipara,NZ,2021-05-26 01:12:40,-35.1667,173.1667,60.49,62,83,10.25
91,Omboue,GA,2021-05-26 01:12:41,-1.5746,9.2618,77.4,94,99,6.51
92,Olavarria,AR,2021-05-26 01:12:41,-36.8927,-60.3225,43.81,66,100,4.36
93,Barrow,US,2021-05-26 01:12:17,71.2906,-156.7887,28.42,74,90,8.05
94,Jibuti,DJ,2021-05-26 01:12:41,11.5,42.5,80.02,64,100,8.48
95,Abalak,RU,2021-05-26 01:12:42,58.1286,68.5944,58.46,80,69,6.98
96,Bredasdorp,ZA,2021-05-26 01:12:42,-34.5322,20.0403,52.54,79,58,5.53
97,Nome,US,2021-05-26 01:12:42,64.5011,-165.4064,69.12,30,1,8.05
98,Qaanaaq,GL,2021-05-26 01:12:12,77.484,-69.3632,30.15,75,12,4.9
99,Jacareacanga,BR,2021-05-26 01:12:43,-6.2222,-57.7528,80.65,70,100,1.14
100,Chuy,UY,2021-05-26 01:12:43,-33.6971,-53.4616,49.06,83,0,6.44
101,Olinda,BR,2021-05-26 01:12:43,-8.0089,-34.8553,78.53,69,20,10.04
102,Badin,PK,2021-05-26 01:12:44,24.656,68.8384,82.62,80,4,16.91
103,Lebu,CL,2021-05-26 01:11:56,-37.6167,-73.65,54.19,89,100,5.64
104,Hermanus,ZA,2021-05-26 01:12:19,-34.4187,19.2345,56.19,71,100,6.24
105,Havelock,US,2021-05-26 01:12:45,34.8791,-76.9013,76.95,89,20,3.0
106,Tucker,US,2021-05-26 01:12:46,33.8545,-84.2171,82.06,69,61,2.84
107,Patea,NZ,2021-05-26 01:12:46,-39.7583,174.4833,58.66,50,0,7.31
108,Pacific Grove,US,2021-05-26 01:09:54,36.6177,-121.9166,75.61,73,40,1.99
109,Rapid City,US,2021-05-26 01:08:44,44.0805,-103.231,67.89,42,20,4.0
110,Porto Empedocle,IT,2021-05-26 01:12:46,37.2934,13.5264,55.24,71,56,6.58
111,Nova Russas,BR,2021-05-26 01:12:47,-4.7067,-40.5631,72.01,74,26,0.18
112,Saint George,US,2021-05-26 01:11:52,37.1041,-113.5841,90.07,9,1,1.99
113,Chapaevsk,RU,2021-05-26 01:12:47,52.9813,49.7112,51.01,84,2,7.38
114,Longyearbyen,SJ,2021-05-26 01:12:48,78.2186,15.6401,28.24,80,75,14.97
115,Bluff,NZ,2021-05-26 01:12:02,-46.6,168.3333,49.8,49,62,3.62
116,Morayfield,AU,2021-05-26 01:12:48,-27.1167,152.95,76.08,61,0,1.99
117,Cuamba,MZ,2021-05-26 01:12:48,-14.8031,36.5372,54.48,98,10,2.55
118,Ust-Maya,RU,2021-05-26 01:12:49,60.4167,134.5333,55.18,36,100,3.51
119,Castro,BR,2021-05-26 01:12:49,-24.7911,-50.0119,50.18,54,21,1.43
120,Kirakira,SB,2021-05-26 01:12:49,-10.4544,161.9205,83.68,63,95,9.44
121,Kavieng,PG,2021-05-26 01:12:17,-2.5744,150.7967,80.96,83,100,8.05
122,Kapaa,US,2021-05-26 01:11:50,22.0752,-159.319,84.18,69,75,3.0
123,Kieta,PG,2021-05-26 01:12:50,-6.2167,155.6333,82.29,84,100,8.39
124,Beringovskiy,RU,2021-05-26 01:12:50,63.05,179.3167,32.67,98,100,7.2
125,Cranbrook,CA,2021-05-26 01:08:14,49.4999,-115.7688,53.44,76,75,3.94
126,Lompoc,US,2021-05-26 01:12:50,34.6391,-120.4579,81.57,70,1,17.27
127,Aswan,EG,2021-05-26 01:12:51,24.0934,32.907,81.9,16,0,8.79
128,Kashan,IR,2021-05-26 01:12:51,33.9831,51.4364,72.27,46,0,3.56
129,Upernavik,GL,2021-05-26 01:12:51,72.7868,-56.1549,33.8,84,56,15.88
130,Camacha,PT,2021-05-26 01:12:52,33.0833,-16.3333,62.02,63,75,18.41
131,Bangalore,IN,2021-05-26 01:12:52,12.9762,77.6033,69.62,91,92,13.02
